CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R6[SITE      ]: carry=0 | base=0.82 | wall=2.90 | search=  0 | target=site(-1.61,1.85)
R7[SEARCH    ]: carry=0 | base=2.57 | wall=0.95 | search=295 | target=site(-0.19,2.20)
R8[PHERO     ]: carry=0 | base=0.81 | wall=2.85 | search=  0 | target=phero(-1.61,1.85)
R9[SEARCH    ]: carry=0 | base=1.18 | wall=2.32 | search=530 | target=site(1.59,1.30)
R10[SURVEY    ]: carry=1 | base=1.36 | wall=2.25 | search=  0 | target=none
R11[SEARCH    ]: carry=0 | base=3.33 | wall=0.36 | search=1367 | target=site(-0.28,1.10)
R12[SITE      ]: carry=0 | base=3.42 | wall=1.04 | search=  0 | target=site(2.48,2.58)
R13[RTB       ]: carry=1 | base=2.18 | wall=1.32 | search=  0 | target=none
R14[GIVE_UP   ]: carry=0 | base=2.06 | wall=1.46 | search=624 | target=none
R15[RTB       ]: carry=1 | base=1.28 | wall=2.27 | search=  0 | target=none
R16[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=site(-0.29,1.33)

======================================================================
Step 6500 (3.5 min) | Pickups: 49 | Deposits: 45 | Rate: 12.98 tags/min | phero_entries=11 max_w=0.173
======================================================================
R1[GIVE_UP   ]: carry=0 | base=2.52 | wall=1.09 | search=3900 | target=none
R2[SITE      ]: carry=0 | base=1.89 | wall=2.15 | search=  0 | target=site(2.92,2.80)
R3[SEARCH    ]: carry=0 | base=3.14 | wall=0.36 | search=1464 | target=site(-0.11,2.46)
R4[SURVEY    ]: carry=1 | base=2.36 | wall=1.14 | search=  0 | target=none
R5[SITE      ]: carry=0 | base=0.47 | wall=3.03 | search=  0 | target=site(-0.19,2.44)
R6[SEARCH    ]: carry=0 | base=2.49 | wall=1.67 | search= 78 | target=site(-1.61,1.85)
R7[GIVE_UP   ]: carry=0 | base=3.50 | wall=0.36 | search=780 | target=none
R8[SEARCH    ]: carry=0 | base=2.43 | wall=1.67 | search= 56 | target=phero(-1.61,1.85)
R9[SEARCH    ]: carry=0 | base=1.01 | wall=2.50 | search=1030 | target=site(1.59,1.30)
R10[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(-0.55,1.24)
R11[SEARCH    ]: carry=0 | base=3.32 | wall=0.37 | search=1867 | target=site(-0.28,1.10)
R12[RTB       ]: carry=1 | base=3.47 | wall=1.00 | search=  0 | target=none
R13[RTB       ]: carry=1 | base=0.39 | wall=3.11 | search=  0 | target=none
R14[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=phero(2.92,2.80)
R15[SITE      ]: carry=0 | base=0.31 | wall=3.19 | search=  0 | target=site(-0.42,1.26)
R16[SURVEY    ]: carry=1 | base=1.36 | wall=2.17 | search=  0 | target=none

======================================================================
Step 7000 (3.7 min) | Pickups: 51 | Deposits: 46 | Rate: 12.32 tags/min | phero_entries=10 max_w=0.296
======================================================================
R1[GIVE_UP   ]: carry=0 | base=0.60 | wall=2.93 | search=3900 | target=none
R2[SURVEY    ]: carry=1 | base=3.49 | wall=0.99 | search=  0 | target=none
R3[GIVE_UP   ]: carry=0 | base=1.65 | wall=1.86 | search=1560 | target=none
R4[RTB       ]: carry=1 | base=1.07 | wall=2.43 | search=  0 | target=none
R5[SITE      ]: carry=0 | base=1.95 | wall=1.55 | search=  0 | target=site(-0.19,2.44)
R6[SEARCH    ]: carry=0 | base=1.05 | wall=2.68 | search=578 | target=site(-1.61,1.85)
R7[GIVE_UP   ]: carry=0 | base=1.78 | wall=1.92 | search=780 | target=none
R8[RTB       ]: carry=1 | base=2.17 | wall=1.71 | search=  0 | target=none
R9[PHERO     ]: carry=0 | base=0.29 | wall=3.22 | search=  0 | target=phero(-0.19,2.29)
R10[SEARCH    ]: carry=0 | base=1.30 | wall=2.28 | search=156 | target=site(-0.55,1.24)
R11[GIVE_UP   ]: carry=0 | base=1.43 | wall=2.15 | search=1872 | target=none
