CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R15[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.33 | search=  0 | target=site(-2.30,2.29)
R16[SITE      ]: carry=0 | base=0.53 | wall=2.97 | search=  0 | target=site(0.17,1.71)

======================================================================
Step 7500 (4.0 min) | Pickups: 56 | Deposits: 51 | Rate: 12.75 tags/min | phero_entries=14 max_w=0.434
======================================================================
R1[RTB       ]: carry=1 | base=1.71 | wall=1.80 | search=  0 | target=none
R2[SITE      ]: carry=0 | base=0.78 | wall=2.73 | search=  0 | target=site(-0.11,1.45)
R3[RTB       ]: carry=1 | base=0.40 | wall=3.21 | search=  0 | target=none
R4[PHERO     ]: carry=0 | base=0.27 | wall=3.24 | search=  0 | target=phero(-1.81,-1.89)
R5[SITE      ]: carry=0 | base=2.11 | wall=1.96 | search=  0 | target=site(-1.81,-1.89)
R6[SEARCH    ]: carry=0 | base=3.48 | wall=0.50 | search=405 | target=site(-2.21,2.28)
R7[SEARCH    ]: carry=0 | base=1.28 | wall=2.22 | search=893 | target=site(-1.54,0.46)
R8[RTB       ]: carry=1 | base=1.14 | wall=2.38 | search=  0 | target=none
